,Symbol,logFC,P.Value,adj.P.Val
7895692,NA,-0.405894551,0.015488533,0.078676079
7895693,NA,-0.114541838,0.238070469,0.439877499
7895694,NA,0.287937875,0.061701749,0.190301167
7895695,NA,-0.568255117,0.021045953,0.09595606
7895696,NA,0.281498064,0.549804799,0.723247882
7895697,NA,0.549269452,0.029239876,0.118805275
7895698,NA,0.577276453,0.002670671,0.026947066
7895699,NA,-0.651389898,0.03419947,0.131176102
7895700,NA,-0.423831786,0.117824607,0.284826915
7895701,NA,0.370608026,0.070382098,0.206349627
7895702,NA,0.09358345,0.692974433,0.822281618
7895703,NA,0.042790583,0.486485172,0.673086378
7895704,NA,0.09555665,0.332060106,0.537846723
7895705,NA,-0.288240144,0.008791917,0.05496514
7895706,NA,-1.01E-05,0.99996612,0.99996612
7895707,NA,0.102431141,0.229132578,0.429559503
7895708,NA,-0.199321754,0.234123899,0.435339445
7895709,NA,-0.22558752,0.369492247,0.573138141
7895710,NA,-0.224437791,0.065009501,0.196462275
7895711,NA,-0.129413266,0.567766962,0.736267604
7895712,NA,-0.305899345,0.061940486,0.190701097
7895713,NA,0.207460093,0.569488911,0.737335088
7895714,NA,-0.156394158,0.223446533,0.422396912
