"","Gene.name","ENSEMBLE ID","log2FoldChange","pvalue","padj"
"6894","RAB3C","ENSG00000152932",0.0144309252789032,0.484516186181098,0.862839651098502
"6895","MARVELD2","ENSG00000152939",0.00558269306241545,0.733152427849134,0.945300465229426
"6896","RAD17","ENSG00000152942",-0.0190776890452364,0.72148005530684,0.940723016857437
"6897","MED21","ENSG00000152944",-0.0673388992745083,0.247242128165596,0.682652715238794
"6898","PLOD2","ENSG00000152952",-0.0297015534868682,0.363890942177676,0.788734999834343
"6899","STK32B","ENSG00000152953",-0.0286468782868205,0.446071004164304,0.840128084916066
"6900","ADGRA3","ENSG00000152990",-0.137137924364573,0.039935432243992,0.297118231656052
"6901","SREK1IP1","ENSG00000153006",-0.0213670747195739,0.678103773638893,0.930138141368309
"6902","CWC27","ENSG00000153015",-0.14077798097626,0.0357157870856583,0.281198591190862
"6903","MR1","ENSG00000153029",0.131070653710751,0.0524419633149109,0.338565652272922
"6904","SRP19","ENSG00000153037",-0.0622937734771065,0.280695971558572,0.719263844199441
"6905","CENPH","ENSG00000153044",-0.450476312659964,4.74677689174333e-08,9.33831620437353e-06
"6906","CDYL","ENSG00000153046",-0.0140294796154882,0.774258041854634,0.958859055486915
"6907","CARHSP1","ENSG00000153048",0.0331211302839014,0.405706001826461,0.813231783037102
"6908","BANK1","ENSG00000153064",-0.0378075791644625,0.34970475610357,0.777208672726435
"6909","TXNDC11","ENSG00000153066",0.0607191949317612,0.249000866406541,0.684838637486977
"6910","DAB2","ENSG00000153071",0.0195175258661336,0.568613732033132,0.896628558396157
"6911","BCL2L11","ENSG00000153094",0.00891078799460721,0.565356846328531,0.895487349793314
"6912","ANAPC1","ENSG00000153107",-0.181182279536826,0.01395510597856,0.16326663144777
"6913","CAST","ENSG00000153113",0.0090134756390807,0.82063998861596,0.966748899504821
"6914","SCOC","ENSG00000153130",-0.114671808337063,0.0910721206671197,0.444408717582735
"6915","CLGN","ENSG00000153132",-0.363053154733737,0.00320337649752836,0.0626217237698093
"6916","CETN3","ENSG00000153140",-0.0389675513895473,0.395856061037926,0.807993106722181
"6917","SMARCA5","ENSG00000153147",-0.161059026564616,0.00180202474883434,0.0413077541926091
"6918","SYCP2L","ENSG00000153157",0.00138171911979836,0.856721222610967,0.972802152176364
"6919","BMP6","ENSG00000153162",0.0133523847463272,0.788268741798846,0.960040443336037
"6920","RGPD3","ENSG00000153165",0.0492532514496202,0.355355090988308,0.782112170537067
"6921","RASSF3","ENSG00000153179",-0.15726463791768,0.0389437599926309,0.293520467519808
"6922","HNRNPU","ENSG00000153187",-0.160460042718027,0.0160562443499011,0.176774502894121
"6923","RANBP2","ENSG00000153201",0.0237524426840272,0.679585885397572,0.930138141368309
"6924","AHCTF1","ENSG00000153207",0.0510868811301787,0.386153757198037,0.802211341230156
"6925","MERTK","ENSG00000153208",0.555679143009173,0.00430151017171021,0.0770579341685745
"6926","TMEM87B","ENSG00000153214",-0.000137994091558796,0.999291006958613,0.999602041261078
"6927","NR4A2","ENSG00000153234",1.94798394882621,3.31047196693853e-06,0.000334565874444876
"6928","RBMS1","ENSG00000153250",-0.0681465663916858,0.233972792984776,0.67145571940623
"6929","CD96","ENSG00000153283",-0.00488755695020921,0.8251774713352,0.967226753963056
"6930","SLC25A27","ENSG00000153291",0.035972045523863,0.08896811301746,0.438997542613549
"6931","CYRIB","ENSG00000153310",-0.145062553124589,0.0475967882295083,0.326582111914124
"6932","ASAP1","ENSG00000153317",0.0805264567462697,0.161444451162969,0.575368242256895
"6933","TRAPPC8","ENSG00000153339",0.0182428936409498,0.734715358202368,0.945698551447007
"6934","LINC00467","ENSG00000153363",-0.0225059061705619,0.640069804524189,0.919313701188702
"6935","INO80C","ENSG00000153391",-0.0247022602306308,0.647544585940826,0.921094955832062
"6936","LPCAT1","ENSG00000153395",-0.0302111360228228,0.325632993665522,0.759923139838963
"6937","PLEKHG4B","ENSG00000153404",0.000698618600847867,0.920686708539184,0.984845343719538
"6938","NMRAL1","ENSG00000153406",-0.0625664017301259,0.276605775947743,0.713791266051756
"6939","UBALD1","ENSG00000153443",0.00288042627696646,0.920736944381465,0.984845343719538
"6940","TMEM251","ENSG00000153485",0.129136737664224,0.00910761905244789,0.124659566059442
"6941","ING1","ENSG00000153487",-0.133779729022279,0.0509960991306821,0.334882025717585
"6942","CMTM7","ENSG00000153551",-0.050383923095363,0.371296631827335,0.794108020040178
"6943","FBXL2","ENSG00000153558",-0.0248331680823619,0.405691439077257,0.813231783037102
"6944","UBP1","ENSG00000153560",-0.0556021457001279,0.331968757714299,0.764942735723393
"6945","RMND5A","ENSG00000153561",-0.0255176981934152,0.617089459138728,0.910900008690964
"6946","RPIA","ENSG00000153574",-0.0956282240839423,0.132784586407546,0.526508856429797
"6947","PTPRD","ENSG00000153707",-0.00610709517078033,0.829310745669575,0.967938517502718
"6948","CNKSR3","ENSG00000153721",0.0776837720101482,0.073426690651629,0.398478045282346
"6949","GTF2E1","ENSG00000153767",0.0288230190591586,0.565892566241316,0.895806092693498
"6950","CFDP1","ENSG00000153774",-0.143288853682601,0.046204671015919,0.32131484185267
"6951","ZDHHC7","ENSG00000153786",0.128108588041719,0.054526604811087,0.346182541568296
"6952","C7orf31","ENSG00000153790",0.0611720667273167,0.205443369983369,0.636238741486069
"6953","JAZF1","ENSG00000153814",0.00579066147215031,0.886514089416709,0.978263211184242
"6954","CMIP","ENSG00000153815",0.0240615809908973,0.519136811937975,0.880272210912677
"6955","TRIP12","ENSG00000153827",-0.00999283787011219,0.812704818982691,0.965011235539027
"6956","FBXO36","ENSG00000153832",0.0212021588125712,0.605166679778946,0.907449271617459
"6957","CEBPG","ENSG00000153879",-0.0578213022298549,0.277249933264454,0.714339941437355
"6958","KCTD15","ENSG00000153885",-0.0599454747301359,0.297307684309053,0.734535615047302
"6959","ZNF599","ENSG00000153896",0.0127683933037414,0.736024547776642,0.945943783548403
"6960","MCOLN2","ENSG00000153898",-0.00283311797047316,0.748498828704195,0.949524566073081
"6961","DDAH1","ENSG00000153904",-0.0445466453623198,0.109459547401991,0.483215787693022
"6962","SREK1","ENSG00000153914",0.0060067480199605,0.910652909237913,0.982947534519476
"6963","CHD1","ENSG00000153922",0.00309819406305462,0.955995143590466,0.991362092064936
"6964","DGKE","ENSG00000153933",0.677868643693734,2.56254597127665e-05,0.00170155170299357
"6965","HS2ST1","ENSG00000153936",-0.116904185656798,0.0825669400351393,0.421040343894356
"6966","MSI2","ENSG00000153944",0.0428993193434652,0.401592196390307,0.810350240511771
"6967","ZUP1","ENSG00000153975",-0.0116708723130109,0.824442183243705,0.967226753963056
"6968","GDPD1","ENSG00000153982",0.0137094518803031,0.533878200638447,0.884584160885072
"6969","NUS1","ENSG00000153989",-0.0397577049226527,0.436762087476295,0.834521995678548
"6970","PPP2R5E","ENSG00000154001",-0.126333914452501,0.0681728090913473,0.384410521690068
"6971","GRAP","ENSG00000154016",0.00320086211251216,0.932456378467759,0.987402944456001
"6972","IMPACT","ENSG00000154059",0.0169443135318191,0.55986173596993,0.89265553833785
"6973","SDHAF4","ENSG00000154079",-0.0235386535335697,0.651967730182839,0.923118288510709
"6974","DNAAF1","ENSG00000154099",0.0414427738898375,0.445776510926154,0.840128084916066
"6975","C16orf74","ENSG00000154102",0.0305007543965507,0.283868910028843,0.721526339015104
"6976","TBCEL","ENSG00000154114",0.0871582668147143,0.0383399445525822,0.291706708814131
"6977","ANKH","ENSG00000154122",-0.00540769926634249,0.804179169994613,0.962660977015153
"6978","OTULIN","ENSG00000154124",-0.0344763025800682,0.517344555307911,0.879202923875588
