,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
8115765,FBXW11,-0.230523365,9.245614441,-1.539351707,0.13871914,0.307680268,-5.154814784
8115783,STK10,-0.106335381,9.803788339,-0.63589556,0.53174518,0.687432802,-6.086293409
8115806,UBTD2,-0.209895399,7.434129146,-1.050947952,0.305280328,0.487035556,-5.744607424
8115812,NA,0.38830504,7.278328807,2.102833875,0.047771841,0.174337838,-4.265408259
8115814,SH3PXD2B,0.148377649,7.682243146,0.850910767,0.404460643,0.580812313,-5.928856504
8115828,NA,0.147584146,3.84264947,1.092463713,0.287059849,0.469761233,-5.701987488
8115831,DUSP1,-0.874605402,9.459025965,-1.052302463,0.304673135,0.486429901,-5.74324018
8115836,NA,0.1426721,3.369760159,0.899043935,0.378868719,0.556937519,-5.887775734
8115838,NA,-0.07159305,6.614617687,-0.461834808,0.648969831,0.775981199,-6.181562135
8115840,NKX2-5,0.15315683,8.300082173,1.401864345,0.175629784,0.352808429,-5.339646193
8115847,NA,0.350248227,10.80751542,1.268578304,0.218536547,0.399528436,-5.505159554
8115849,NA,0.3742606,7.988062055,2.14666266,0.043711679,0.166701154,-4.188433022
8115851,STC2,0.060444607,5.870760738,0.691436514,0.496898969,0.659488399,-6.049771857
8115863,NA,-0.212807634,5.358326011,-1.042164586,0.30923859,0.490576842,-5.753435037
8115865,BOD1,-0.265834728,9.440944583,-3.030688297,0.006381233,0.070685634,-2.46138903
8115871,LINC01951,0.429992298,7.458489607,1.573513794,0.130613465,0.297554084,-5.106761713
8115873,NA,0.288911609,8.112199112,1.335771415,0.19598562,0.374869347,-5.423448572
8115875,DRD1,0.220718482,5.607419917,1.71659164,0.10083635,0.25811408,-4.896736131
8115884,NA,0.192609792,8.031036983,0.879558974,0.389097407,0.567296038,-5.904658032
8115886,NA,-0.395075028,8.5720214,-2.376140366,0.027133846,0.131625245,-3.769927812
8115895,KIAA1191,-0.105545505,9.427729384,-0.60805939,0.549697933,0.701696841,-6.103492745
8115907,NOP16,-0.371340209,8.231827655,-1.76328896,0.092464757,0.246697817,-4.82523252
8115918,CLTB,-0.262370644,9.024407319,-1.507740318,0.146585636,0.317322319,-5.198537478
8115927,RNF44,-0.102764578,9.282607092,-0.794432605,0.435870179,0.608712525,-5.974370548
8115939,NA,0.347324853,6.84363677,2.739141762,0.012324652,0.093288009,-3.062083467
8115941,GPRIN1,0.379653253,7.336149011,2.956966148,0.007549757,0.075901045,-2.615550377
8115948,SNCB,0.285242385,6.631915961,2.945853178,0.00774285,0.076519295,-2.63866461
8115957,HK3,0.240169726,6.427851385,2.278520615,0.033313191,0.145786281,-3.951014453
8115978,UIMC1,-0.554393664,8.634355589,-2.293808413,0.032266916,0.143405165,-3.922944014
8115997,RAB24,-0.061097658,9.296727257,-0.470882119,0.642601351,0.77158044,-6.17733586
8116012,MXD3,0.061100727,8.372876903,0.316644094,0.754653976,0.850086723,-6.23833859
8116020,LMAN2,-0.042470722,12.07424018,-0.26365742,0.79462543,0.877509174,-6.253838789
8116031,PFN3,0.103752121,7.298274402,1.24891604,0.225500879,0.406659177,-5.528392119
8116033,F12,0.202534787,6.916718657,2.635645081,0.015493875,0.102811166,-3.268945256
8116051,DBN1,0.018826668,8.169332446,0.100442411,0.920950172,0.956992726,-6.283862423
8116070,PDLIM7,0.026661283,8.75847649,0.128766162,0.89877349,0.943192617,-6.280578207
8116086,DOK3,0.481667349,9.81508156,2.784620116,0.01113599,0.089403084,-2.970048831
8116096,DDX41,-0.39370345,10.53456189,-2.750607583,0.012014088,0.092443801,-3.038943276
8116113,FAM193B,-0.011845613,8.555903092,-0.152618864,0.880162323,0.93214901,-6.277183932
8116128,LOC202181,0.137060372,7.566915562,0.700532685,0.491318802,0.655163882,-6.04351241
8116130,NA,0.247297158,6.76294057,1.839181886,0.080136339,0.228411203,-4.706056967
8116162,PROP1,0.362775983,7.788381302,2.872859107,0.009134044,0.081928441,-2.789635057
8116168,NHP2,-0.266335317,8.540914969,-1.570609315,0.131286944,0.298495144,-5.110879325
8116174,GMCL2,0.154308081,4.425248419,0.996225144,0.330533225,0.511800818,-5.798517714
8116177,PHYKPL,-0.026378661,9.191442335,-0.194717362,0.847494148,0.912173928,-6.269793049
8116195,COL23A1,0.454560352,7.900132296,3.991232266,0.000668329,0.026076698,-0.363255617
8116227,CLK4,-0.696045855,9.088415659,-1.822500358,0.082716285,0.23206978,-4.732561389
8116245,CLK4,-0.506777308,8.625412807,-1.745105509,0.095650715,0.251153841,-4.853243338
8116247,ZNF354A,-0.413724661,7.536939355,-2.803555577,0.010673965,0.087842564,-2.931534465
8116253,GRM6,0.144949916,6.836212694,1.369010291,0.185527147,0.363604622,-5.381722936
8116272,ADAMTS2,0.246423985,7.232344099,2.940332607,0.007840527,0.076942537,-2.650134557
8116295,NA,-0.040467529,3.512899683,-0.455751894,0.653267222,0.778770495,-6.184358515
8116297,HNRNPH1,-0.429629633,10.65831011,-2.580715238,0.017474228,0.107926369,-3.377189686
8116313,C5orf60,0.341449929,6.475524532,2.050203984,0.053094412,0.18345302,-4.356497355
8116316,MGAT4B,-0.159577392,9.396657808,-0.849491087,0.405231984,0.581311739,-5.930036304
8116335,MRNIP,-0.038845086,8.482467412,-0.379452568,0.70817902,0.818672945,-6.216339286
8116346,NA,-0.111316343,7.058925622,-1.001110873,0.328221183,0.50928658,-5.79381036
8116348,TBC1D9B,0.121923164,9.087115062,0.519040241,0.609184341,0.747759789,-6.153492741
8116372,RNF130,0.323989757,11.33698453,1.474259003,0.155312878,0.327909005,-5.244056645
8116384,RASGEF1C,0.17615539,7.051173797,1.801637432,0.086044293,0.236934902,-4.765465867
8116400,NA,-0.039611799,6.44888701,-0.281734602,0.780917142,0.868825116,-6.248866232
8116402,MAPK9,-0.16075934,9.309666733,-0.88891461,0.384163805,0.562313268,-5.896594738
8116418,GFPT2,0.102798328,5.684665075,0.864843512,0.396940783,0.573824766,-5.917180758
8116439,SCGB3A1,0.411553548,7.54372321,3.26595979,0.003707372,0.056005522,-1.960829546
8116445,FLT4,0.242752092,6.841128879,2.483432005,0.021576577,0.117891162,-3.566076903
8116479,NA,0.451946258,6.121784893,2.085203129,0.049498848,0.177565517,-4.296088004
8116482,OR2Y1,0.218656524,6.422035994,1.552472597,0.135558007,0.303728301,-5.136456608
8116484,MGAT1,0.106635241,8.301175952,1.140435785,0.267002587,0.449452643,-5.650918549
8116494,ZFP62,-0.357081753,8.282054364,-2.928540682,0.008053142,0.077745861,-2.674606355
8116500,OR2V1,0.435378717,6.517206134,1.872970359,0.075124838,0.22044873,-4.651848715
8116502,NA,0.544627286,6.794355987,4.949523391,6.84E-05,0.008623449,1.780328739
8116504,TRIM7,0.296794388,6.560492923,2.767962546,0.011558119,0.090745272,-3.003836209
8116520,RACK1,0.078500706,13.81220385,1.185000005,0.249314496,0.432320839,-5.601753671
8116530,SNORD96A,-0.35229463,8.101382514,-1.526721243,0.141819415,0.311200807,-5.172370588
8116532,SNORD95,0.588391937,10.93111936,2.663592007,0.014569481,0.100051261,-3.213453269
8116534,TRIM52,-0.041903785,8.523974062,-0.193285745,0.84860082,0.912689425,-6.270073716
8116537,NA,0.324923175,6.068272306,2.505975077,0.020552738,0.115170734,-3.522638563
8116545,NA,0.106201468,6.093828176,0.755017644,0.458660873,0.628030475,-6.004393463
8116548,DUSP22,0.491859392,8.947595402,3.192945144,0.004392073,0.06045592,-2.117455267
8116559,IRF4,0.360133631,6.135945012,3.808950103,0.00103155,0.031862259,-0.769833907
8116571,NA,0.547476374,8.056760604,1.327345177,0.198709275,0.377865375,-5.433890037
8116573,NA,0.336281897,5.44500887,2.333715197,0.02967646,0.137911666,-3.849159561
8116577,NA,0.021216134,5.557327863,0.160932235,0.873691866,0.928062806,-6.275865997
8116579,FOXQ1,0.376328204,7.379375728,3.665340982,0.001450445,0.036559779,-1.088359221
8116582,FOXF2,0.14409631,6.310126281,1.625227087,0.119096441,0.283780892,-5.032462983
8116585,NA,0.028903656,8.562795115,0.325323338,0.748169968,0.845563458,-6.235532359
8116589,NA,0.070599028,3.656848824,0.852578174,0.40355591,0.580139933,-5.927468494
8116591,FOXC1,0.310652044,8.263978492,4.070087052,0.000553747,0.024204364,-0.186821808
8116593,NA,-0.776420295,6.165107585,-2.88816868,0.008823744,0.080907498,-2.758096289
