,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B, -log10
8154719,NA,0.068098534,4.551419917,0.785441693,0.439634579,0.999903525,-4.853610999,0.356908156
8154721,IFNK,0.083151193,4.267223342,1.006980879,0.323668672,0.999903525,-4.737467523,0.489899334
8154725,MIR622,-0.004263047,9.041752572,-0.037476368,0.970405229,0.999903525,-5.038813303,0.013046872
8154727,SLC25A6,-0.003100213,12.13593174,-0.028636933,0.977383364,0.999903525,-5.038992224,0.009935057
8154729,NA,0.038365193,5.93539596,0.268769937,0.790330023,0.999903525,-5.017171108,0.10219152
8154731,NA,0.020712575,5.966393775,0.252209819,0.80295743,0.999903525,-5.019802487,0.095307479
8154733,ACO1,-0.02055354,9.900223828,-0.229439505,0.820409094,0.999903525,-5.023149371,0.085969534
8154758,NA,0.040078533,5.155733601,0.78900635,0.4375867,0.999903525,-4.851951561,0.358935886
8154760,TMEM215,-0.009830373,6.91532956,-0.181299291,0.857606274,0.999903525,-5.029188769,0.06671205
8154763,NA,0.06431681,6.416829805,0.436740438,0.666078687,0.999903525,-4.98115715,0.176474463
8154765,DNAJA1,-0.146068824,9.200111287,-0.448468999,0.657708685,0.999903525,-4.97801346,0.181966423
8154777,NA,0.049507917,5.548566659,0.56233397,0.578936517,0.999903525,-4.943286411,0.237369056
8154779,SPINK4,0.136484942,6.179210173,1.901014156,0.06898222,0.999903525,-4.035423769,1.161262833
8154785,CHMP5,0.037346005,8.86357357,0.347607154,0.731068202,0.999903525,-5.002374171,0.136042105
8154793,NFX1,-0.003114439,9.985324189,-0.026282055,0.979242715,0.999903525,-5.03903182,0.009109651
8154823,ANKRD18B,0.001218576,5.470255571,0.011347962,0.991036628,0.999903525,-5.039203879,0.003910294
8154836,ANXA2P2,-0.131036916,10.6623632,-0.553918765,0.584594939,0.999903525,-4.946112224,0.233144949
8154838,NA,0.04886637,6.584210099,0.439525664,0.664086978,0.999903525,-4.980417983,0.177775036
8154841,NA,0.052424207,6.9240431,0.59703774,0.555894315,0.999903525,-4.931199681,0.255007767
8154844,NA,0.044681354,4.101001221,0.760142228,0.454335962,0.999903525,-4.865187055,0.342622886
8154846,NA,0.131593264,5.123529653,1.669790525,0.107536951,0.999903525,-4.248058424,0.968442281
8154848,PRSS3,0.069323699,7.454903934,0.933084507,0.35977262,0.999903525,-4.779105043,0.443971891
8154856,UBE2R2,0.138102766,10.83174524,1.141775095,0.264452478,0.999903525,-4.654341147,0.577652359
8154866,NA,0.092174673,5.17942438,0.72592162,0.474682479,0.999903525,-4.880279956,0.323596798
8154868,NA,0.096389346,8.405751536,0.630803094,0.533939986,0.999903525,-4.918773858,0.272507554
8154870,NA,0.049649322,7.101835818,0.496499235,0.62391463,0.999903525,-4.964292114,0.204874831
8154872,UBAP1,-0.024232034,9.306428253,-0.097921289,0.922781939,0.999903525,-5.036308284,0.034900914
8154885,NUDT2,-0.09280415,8.463700332,-1.159501687,0.257294138,0.999903525,-4.642738797,0.589570108
8154892,DNAI1,0.033830433,6.376881226,0.626026834,0.537017099,0.999903525,-4.920571253,0.270011886
8154914,NA,0.0379465,4.535528833,0.646828638,0.523684984,0.999903525,-4.912647891,0.280929879
8154916,GALT,-0.004143026,8.826148541,-0.047146492,0.962774094,0.999903525,-5.038562778,0.016475604
8154934,IL11RA,0.121151195,8.27426332,0.830235882,0.414326717,0.999903525,-4.832251853,0.382657061
8154951,NA,0.033807775,11.98994429,0.433760841,0.668212162,0.999903525,-4.981942812,0.175085624
8154953,PHF24,0.022756452,6.265698624,0.346008867,0.73225428,0.999903525,-5.00271129,0.135338081
8154962,DNAJB5,0.132907876,7.3821812,1.883850419,0.071361785,0.999903525,-4.05182941,1.146534295
8154973,C9orf131,0.084680016,6.35104108,1.341570703,0.191891735,0.999903525,-4.514953363,0.71694373
8154979,NA,0.008833461,5.805246171,0.093329591,0.926391637,0.999903525,-5.03657702,0.033205374
8154981,UNC13B,0.02137145,7.291459294,0.314364705,0.755873503,0.999903525,-5.009069917,0.121550879
