,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
7894698,NA,1.090932935,10.06285077,5.66033512,9.21E-05,0.003435955,1.621964572
7894699,NA,0.087017268,13.30988668,1.081058314,0.300186899,0.501295109,-6.080679057
7894700,NA,0.57222598,10.95825571,4.0703862,0.001445543,0.01683534,-1.12343143
7894701,NA,-0.785893741,9.614397413,-3.757445301,0.002574704,0.023946903,-1.695971564
7894702,NA,-0.488148507,7.408789048,-2.12793397,0.053973699,0.168700108,-4.626366325
7894703,NA,0.250433634,4.662208768,1.666218634,0.120636881,0.283335418,-5.343890841
7894704,NA,-0.029701446,12.76713469,-0.425176177,0.677971709,0.815167155,-6.578790528
7894705,NA,-0.656885642,4.391587539,-4.637170149,0.000521815,0.009217624,-0.108392934
7894706,NA,-1.098502501,7.139679985,-4.464631243,0.000708717,0.011037801,-0.413763541
7894707,NA,0.108906546,8.370480026,1.092791722,0.295199601,0.496001469,-6.068310743
7894708,NA,0.11706143,9.265293365,0.858088692,0.407075491,0.603839828,-6.294002562
7894709,NA,-0.250167651,9.461200195,-2.101046077,0.056644874,0.174139448,-4.670594119
7894710,NA,-0.573557193,4.106813359,-2.773413055,0.016375479,0.078217521,-3.504039733
7894711,NA,-0.136375223,10.43027004,-1.512883507,0.155296753,0.331341534,-5.558588413
7894712,NA,0.746956459,10.53797423,4.748333389,0.000429265,0.008200366,0.086455757
7894713,NA,-0.02559174,5.970895981,-0.078881761,0.938381598,0.968128742,-6.670907511
7894714,NA,-0.142992366,6.605396597,-1.161045508,0.26742205,0.467036308,-5.994211866
7894715,NA,-0.423844475,5.055203226,-2.235193006,0.044450745,0.148662125,-4.447472283
7894716,NA,-0.119566127,11.45491439,-1.775600599,0.100252196,0.251639817,-5.182823101
7894717,NA,0.296494441,10.2125631,1.472467106,0.165743454,0.344377077,-5.612847761
7894718,NA,-0.357167584,5.194289701,-1.332827363,0.20648963,0.396213366,-5.792208205
7894719,NA,-0.246388539,8.30505258,-1.427397587,0.178087077,0.361040351,-5.672138746
7894720,NA,-0.755923239,8.627950754,-5.053927176,0.000253096,0.005943537,0.613889987
7894721,NA,-0.298384443,6.08472768,-1.38342078,0.190863316,0.377340923,-5.728719392
7894722,NA,0.993116766,10.83969984,5.47981433,0.000123819,0.00398426,1.32743504
7894723,NA,-0.46949771,12.19917423,-3.351170253,0.005508418,0.038531308,-2.445531006
7894724,NA,-0.165159401,5.29166335,-0.608389249,0.55387763,0.723793798,-6.480310259
7894725,NA,0.037794667,11.98972766,0.369448767,0.718006678,0.840735635,-6.60203668
7894726,NA,-0.110134513,7.43961031,-0.496821756,0.627979861,0.779927095,-6.544267264
7894727,NA,-0.598129279,8.813642511,-5.001978047,0.000276633,0.006244777,0.525109477
7894728,NA,-0.558448463,6.94549129,-1.89105893,0.082133269,0.221673944,-5.00637155
7894729,NA,-0.118442614,6.630208528,-0.873266863,0.399063898,0.596499848,-6.280835273
7894731,NA,0.903953646,5.81478002,2.816456158,0.015101848,0.074276233,-3.426218537
7894732,NA,0.440259208,11.92188957,2.80676485,0.015379804,0.075055158,-3.443761938
7894733,NA,-0.497098971,8.633349571,-5.366444801,0.000149407,0.004437821,1.140027414
7894734,NA,-0.363913345,11.08948347,-1.717060931,0.110745023,0.268394864,-5.269799375
7894735,NA,-0.049338187,3.67424846,-0.311436533,0.760627189,0.86711187,-6.622842414
7894736,NA,-0.475492258,8.827055519,-3.087751986,0.009053278,0.053118412,-2.931011261
7894737,NA,0.240173494,10.11304206,1.960650591,0.072704865,0.204569091,-4.897092278
7894738,NA,-0.204560673,4.710373858,-0.952112732,0.359176637,0.559744663,-6.209190096
7894739,NA,-0.327381286,6.005482061,-1.139449039,0.275985167,0.476336207,-6.018050818
7894740,NA,0.048955248,13.27717702,0.580398035,0.572011965,0.737792219,-6.497508036
7894741,NA,-0.414573083,9.819906131,-2.664004672,0.020107799,0.089258684,-3.700621454
7894742,NA,-0.01401139,6.252369451,-0.116770151,0.908906567,0.951963195,-6.666968851
7894743,NA,-0.17113398,4.330312368,-0.777015026,0.451675383,0.641757334,-6.360834827
7894744,NA,0.352406196,12.42292005,3.63746229,0.0032196,0.027400939,-1.916924299
7894745,NA,-0.395403139,6.535482368,-3.491522828,0.004231068,0.03262665,-2.186275588
7894746,NA,0.860289289,6.996957583,4.458747206,0.000716202,0.01110213,-0.424237868
7894747,NA,-0.310927806,11.15775174,-1.997545577,0.068119395,0.196344486,-4.838324525
7894748,NA,-0.763068107,7.156002144,-4.176335081,0.001191515,0.015018494,-0.931253875
7894749,NA,-0.468244976,6.354515383,-1.303171856,0.216124793,0.408504277,-5.828602304
7894750,NA,0.045663294,3.164622496,0.923894885,0.373117835,0.572452142,-6.235450335
7894751,NA,-0.150618814,6.358405737,-0.723238695,0.482913291,0.668005643,-6.401847663
7894752,NA,-0.731295812,7.224767227,-5.690613411,8.77E-05,0.003336646,1.670894069
7894753,NA,-0.280057609,8.005369479,-1.111337895,0.287444188,0.48857272,-6.048537718
